;MACEIO;ARACAJU;RECIFE;JOÃO PESSOA;SALVADOR
jan/08;;;;;
fev/08;;;;;
mar/08;;;;;
abr/08;;;;;
mai/08;;;;;
jun/08;;;;;
jul/08;;;;;
ago/08;;;;;
set/08;;;;;
out/08;;;;;
nov/08;;;;;
dez/08;;;;;
jan/09;;;;;
fev/09;;;;;
mar/09;;;;;
abr/09;;;;;
mai/09;;;;;
jun/09;;;;;
jul/09;;;;;
ago/09;;;;;
set/09;;;;;
out/09;;;;;
nov/09;;;;;
dez/09;;;;;
jan/10;;;;;
fev/10;;;;;
mar/10;;;;;
abr/10;;;;;
mai/10;;;;;
jun/10;;;3.154;;
jul/10;;;3.151;;
ago/10;;;3.185;;3.310
set/10;;;3.253;;3.280
out/10;;;3.321;;3.311
nov/10;;;3.368;;3.341
dez/10;;;3.395;;3.395
jan/11;;;3.421;;3.404
fev/11;;;3.468;;3.424
mar/11;;;3.538;;3.460
abr/11;;;3.664;;3.490
mai/11;;;3.789;;3.509
jun/11;;;3.906;;3.489
jul/11;;;4.023;;3.494
ago/11;;;4.142;;3.506
set/11;;;4.242;;3.537
out/11;;;4.293;;3.572
nov/11;;;4.336;;3.600
dez/11;;;4.438;;3.626
jan/12;;;4.590;;3.661
fev/12;;;4.737;;3.738
mar/12;;;4.837;;3.739
abr/12;;;4.904;;3.716
mai/12;;;4.994;;3.669
jun/12;;;5.032;;3.746
jul/12;;;5.065;;3.813
ago/12;;;5.073;;3.853
set/12;;;5.127;;3.847
out/12;;;5.184;;3.861
nov/12;;;5.206;;3.909
dez/12;;;5.229;;3.990
jan/13;;;5.221;;4.047
fev/13;;;5.169;;4.100
mar/13;;;5.200;;4.100
abr/13;;;5.278;;4.116
mai/13;;;5.429;;4.130
jun/13;;;5.548;;4.198
jul/13;;;5.617;;4.273
ago/13;;;5.668;;4.342
set/13;;;5.740;;4.377
out/13;;;5.818;;4.385
nov/13;;;5.872;;4.390
dez/13;;;5.931;;4.415
jan/14;;;5.990;;4.445
fev/14;;;6.044;;4.471
mar/14;;;6.086;;4.508
abr/14;;;6.127;;4.528
mai/14;;;6.146;;4.563
jun/14;;;6.160;;4.589
jul/14;;;6.166;;4.620
ago/14;;;6.199;;4.642
set/14;;;6.164;;4.682
out/14;;;6.201;;4.705
nov/14;;;6.250;;4.733
dez/14;;;6.344;;4.728
jan/15;;;6.381;;4.769
fev/15;;;6.379;;4.756
mar/15;;;6.337;;4.749
abr/15;;;6.358;;4.792
mai/15;;;6.365;;4.801
jun/15;;;6.363;;4.812
jul/15;;;6.368;;4.830
ago/15;;;6.370;;4.848
set/15;;;6.368;;4.850
