,MACEIO,ARACAJU,RECIFE,JOÃO PESSOA,SALVADOR
1/1/2008,0,0,0,0,0
2/1/2008,0,0,0,0,0
3/1/2008,0,0,0,0,0
4/1/2008,0,0,0,0,0
5/1/2008,0,0,0,0,0
6/1/2008,0,0,0,0,0
7/1/2008,0,0,0,0,0
8/1/2008,0,0,0,0,0
9/1/2008,0,0,0,0,0
10/1/2008,0,0,0,0,0
11/1/2008,0,0,0,0,0
12/1/2008,0,0,0,0,0
1/1/2009,0,0,0,0,0
2/1/2009,0,0,0,0,0
3/1/2009,0,0,0,0,0
4/1/2009,0,0,0,0,0
5/1/2009,0,0,0,0,0
6/1/2009,0,0,0,0,0
7/1/2009,0,0,0,0,0
8/1/2009,0,0,0,0,0
9/1/2009,0,0,0,0,0
10/1/2009,0,0,0,0,0
11/1/2009,0,0,0,0,0
12/1/2009,0,0,0,0,0
1/1/2010,0,0,0,0,0
2/1/2010,0,0,0,0,0
3/1/2010,0,0,0,0,0
4/1/2010,0,0,0,0,0
5/1/2010,0,0,0,0,0
6/1/2010,0,0,"3,154",0,0
7/1/2010,0,0,"3,151",0,0
8/1/2010,0,0,"3,185",0,"3,310"
9/1/2010,0,0,"3,253",0,"3,280"
10/1/2010,0,0,"3,321",0,"3,311"
11/1/2010,0,0,"3,368",0,"3,341"
12/1/2010,0,0,"3,395",0,"3,395"
1/1/2011,0,0,"3,421",0,"3,404"
2/1/2011,0,0,"3,468",0,"3,424"
3/1/2011,0,0,"3,538",0,"3,460"
4/1/2011,0,0,"3,664",0,"3,490"
5/1/2011,0,0,"3,789",0,"3,509"
6/1/2011,0,0,"3,906",0,"3,489"
7/1/2011,0,0,"4,023",0,"3,494"
8/1/2011,0,0,"4,142",0,"3,506"
9/1/2011,0,0,"4,242",0,"3,537"
10/1/2011,0,0,"4,293",0,"3,572"
11/1/2011,0,0,"4,336",0,"3,600"
12/1/2011,0,0,"4,438",0,"3,626"
1/1/2012,0,0,"4,590",0,"3,661"
2/1/2012,0,0,"4,737",0,"3,738"
3/1/2012,0,0,"4,837",0,"3,739"
4/1/2012,0,0,"4,904",0,"3,716"
5/1/2012,0,0,"4,994",0,"3,669"
6/1/2012,0,0,"5,032",0,"3,746"
7/1/2012,0,0,"5,065",0,"3,813"
8/1/2012,0,0,"5,073",0,"3,853"
9/1/2012,0,0,"5,127",0,"3,847"
10/1/2012,0,0,"5,184",0,"3,861"
11/1/2012,0,0,"5,206",0,"3,909"
12/1/2012,0,0,"5,229",0,"3,990"
1/1/2013,0,0,"5,221",0,"4,047"
2/1/2013,0,0,"5,169",0,"4,100"
3/1/2013,0,0,"5,200",0,"4,100"
4/1/2013,0,0,"5,278",0,"4,116"
5/1/2013,0,0,"5,429",0,"4,130"
6/1/2013,0,0,"5,548",0,"4,198"
7/1/2013,0,0,"5,617",0,"4,273"
8/1/2013,0,0,"5,668",0,"4,342"
9/1/2013,0,0,"5,740",0,"4,377"
10/1/2013,0,0,"5,818",0,"4,385"
11/1/2013,0,0,"5,872",0,"4,390"
12/1/2013,0,0,"5,931",0,"4,415"
1/1/2014,0,0,"5,990",0,"4,445"
2/1/2014,0,0,"6,044",0,"4,471"
3/1/2014,0,0,"6,086",0,"4,508"
4/1/2014,0,0,"6,127",0,"4,528"
5/1/2014,0,0,"6,146",0,"4,563"
6/1/2014,0,0,"6,160",0,"4,589"
7/1/2014,0,0,"6,166",0,"4,620"
8/1/2014,0,0,"6,199",0,"4,642"
9/1/2014,0,0,"6,164",0,"4,682"
10/1/2014,0,0,"6,201",0,"4,705"
11/1/2014,0,0,"6,250",0,"4,733"
12/1/2014,0,0,"6,344",0,"4,728"
1/1/2015,0,0,"6,381",0,"4,769"
2/1/2015,0,0,"6,379",0,"4,756"
3/1/2015,0,0,"6,337",0,"4,749"
4/1/2015,0,0,"6,358",0,"4,792"
5/1/2015,0,0,"6,365",0,"4,801"
6/1/2015,0,0,"6,363",0,"4,812"
7/1/2015,0,0,"6,368",0,"4,830"
8/1/2015,0,0,"6,370",0,"4,848"
9/1/2015,0,0,"6,368",0,"4,850"
10/1/2015,0,0,"6,355",0,"4,846"
11/1/2015,0,0,"6,344",0,"4,840"
12/1/2015,0,0,"6,346",0,"4,842"
1/1/2016,0,0,"6,325",0,"4,810"
2/1/2016,0,0,"6,311",0,"4,788"
3/1/2016,0,0,"6,285",0,"4,794"
4/1/2016,0,0,"6,281",0,"4,816"
5/1/2016,0,0,"6,276",0,"4,845"
6/1/2016,0,0,"6,262",0,"4,868"
7/1/2016,0,0,"6,259",0,"4,882"
8/1/2016,0,0,"6,265",0,"4,886"
9/1/2016,0,0,"6,298",0,"4,905"
10/1/2016,0,0,"6,334",0,"4,919"
11/1/2016,0,0,"6,371",0,"4,947"
12/1/2016,0,0,"6,397",0,"4,961"
1/1/2017,0,0,"6,347",0,"4,964"
2/1/2017,0,0,"6,327",0,"4,981"
3/1/2017,0,0,"6,286",0,"4,987"
4/1/2017,0,0,"6,268",0,"4,985"
5/1/2017,0,0,"6,227",0,"4,976"
